mode,effect_sd,lag_min,seed,horizon_min,p_value,positive_folds,post_only,pre_only,pass_bonferroni
injected,0.5,30.0,23,60,0.2757421649012599,3.0,25.0,20.0,False
injected,0.5,30.0,23,120,0.12149247701745483,3.0,22.0,14.0,False
injected_any,0.5,30.0,23,0,,,,,False
injected,0.5,30.0,24,30,0.2556878907926148,3.0,21.0,16.0,False
injected,0.5,30.0,24,60,0.3746293123804209,3.0,21.0,18.0,False
injected,0.5,30.0,24,120,0.18854279373772442,3.0,19.0,13.0,False
injected_any,0.5,30.0,24,0,,,,,False
injected,0.5,30.0,25,30,0.2497799166012556,3.0,20.0,15.0,False
injected,0.5,30.0,25,60,0.3293690385118282,2.0,25.0,21.0,False
injected,0.5,30.0,25,120,0.2497799166012556,3.0,20.0,15.0,False
injected_any,0.5,30.0,25,0,,,,,False
injected,0.5,30.0,26,30,0.09387077949941158,4.0,23.0,14.0,False
injected,0.5,30.0,26,60,0.3714146793645341,3.0,20.0,17.0,False
injected,0.5,30.0,26,120,0.055092082591727376,4.0,21.0,11.0,False
injected_any,0.5,30.0,26,0,,,,,False
injected,0.5,30.0,27,30,0.08137782872654498,4.0,21.0,12.0,False
injected,0.5,30.0,27,60,0.26635462761805684,3.0,23.0,18.0,False
injected,0.5,30.0,27,120,0.08137782872654498,3.0,21.0,12.0,False
injected_any,0.5,30.0,27,0,,,,,False
injected,0.5,30.0,28,30,0.1620043000439182,3.0,22.0,15.0,False
injected,0.5,30.0,28,60,0.38543349728651316,2.0,25.0,22.0,False
injected,0.5,30.0,28,120,0.06072474247775972,3.0,22.0,12.0,False
injected_any,0.5,30.0,28,0,,,,,False
injected,0.5,30.0,29,30,0.30379568063654006,3.0,19.0,15.0,False
injected,0.5,30.0,29,60,0.235439506810856,3.0,27.0,21.0,False
injected,0.5,30.0,29,120,0.1481031842995435,3.0,20.0,13.0,False
injected_any,0.5,30.0,29,0,,,,,False
injected,0.5,30.0,30,30,0.308859658514848,2.0,20.0,16.0,False
injected,0.5,30.0,30,60,0.325793913604457,2.0,24.0,20.0,False
injected,0.5,30.0,30,120,0.15525232953950768,3.0,21.0,14.0,False
injected_any,0.5,30.0,30,0,,,,,False
injected,0.5,30.0,31,30,0.4320831202203408,2.0,18.0,16.0,False
injected,0.5,30.0,31,60,0.3641662404406816,3.0,18.0,15.0,False
injected,0.5,30.0,31,120,0.08431877195835114,3.0,17.0,9.0,False
injected_any,0.5,30.0,31,0,,,,,False
injected,0.5,30.0,32,30,0.14052075752988458,3.0,19.0,12.0,False
injected,0.5,30.0,32,60,0.22039953367129783,3.0,24.0,18.0,False
injected,0.5,30.0,32,120,0.10024421103298667,3.0,19.0,11.0,False
injected_any,0.5,30.0,32,0,,,,,False
injected,0.5,30.0,33,30,0.308859658514848,3.0,20.0,16.0,False
injected,0.5,30.0,33,60,0.3776143287523155,3.0,22.0,19.0,False
injected,0.5,30.0,33,120,0.08137782872654498,4.0,21.0,12.0,False
injected_any,0.5,30.0,33,0,,,,,False
injected,0.5,30.0,34,30,0.3714146793645341,2.0,20.0,17.0,False
injected,0.5,30.0,34,60,0.26635462761805684,3.0,23.0,18.0,False
injected,0.5,30.0,34,120,0.10024421103298667,4.0,19.0,11.0,False
injected_any,0.5,30.0,34,0,,,,,False
injected,0.5,30.0,35,30,0.4339697002142202,2.0,19.0,17.0,False
injected,0.5,30.0,35,60,0.2757421649012599,3.0,25.0,20.0,False
injected,0.5,30.0,35,120,0.10766357486136258,4.0,20.0,12.0,False
injected_any,0.5,30.0,35,0,,,,,False
injected,0.5,30.0,36,30,0.43570733968226705,1.0,20.0,18.0,False
injected,0.5,30.0,36,60,0.3776143287523155,3.0,22.0,19.0,False
injected,0.5,30.0,36,120,0.12149247701745483,3.0,22.0,14.0,False
injected_any,0.5,30.0,36,0,,,,,False
injected,0.5,30.0,37,30,0.24342512083239853,3.0,19.0,14.0,False
injected,0.5,30.0,37,60,0.3179140013144206,2.0,22.0,18.0,False
injected,0.5,30.0,37,120,0.07480639219284058,4.0,20.0,11.0,False
injected_any,0.5,30.0,37,0,,,,,False
injected,0.5,30.0,38,30,0.5000000000000001,2.0,18.0,17.0,False
injected,0.5,30.0,38,60,0.3776143287523155,2.0,22.0,19.0,False
injected,0.5,30.0,38,120,0.2556878907926148,3.0,21.0,16.0,False
injected_any,0.5,30.0,38,0,,,,,False
injected,0.5,30.0,39,30,0.4320831202203408,1.0,18.0,16.0,False
injected,0.5,30.0,39,60,0.3179140013144206,3.0,22.0,18.0,False
injected,0.5,30.0,39,120,0.11474050651304424,3.0,21.0,13.0,False
injected_any,0.5,30.0,39,0,,,,,False
injected,0.5,30.0,40,30,0.2497799166012556,3.0,20.0,15.0,False
injected,0.5,30.0,40,60,0.3327329060383094,2.0,26.0,22.0,False
injected,0.5,30.0,40,120,0.087732624495402,3.0,22.0,13.0,False
injected_any,0.5,30.0,40,0,,,,,False
injected,0.5,30.0,41,30,0.360050065908581,2.0,17.0,14.0,False
injected,0.5,30.0,41,60,0.2611986902484206,3.0,22.0,17.0,False
injected,0.5,30.0,41,120,0.1481031842995435,3.0,20.0,13.0,False
injected_any,0.5,30.0,41,0,,,,,False
injected,0.5,30.0,42,30,0.5,1.0,17.0,16.0,False
injected,0.5,30.0,42,60,0.325793913604457,3.0,24.0,20.0,False
injected,0.5,30.0,42,120,0.15525232953950768,3.0,21.0,14.0,False
injected_any,0.5,30.0,42,0,,,,,False
injected,0.5,30.0,43,30,0.19576415256597102,3.0,20.0,14.0,False
injected,0.5,30.0,43,60,0.325793913604457,3.0,24.0,20.0,False
injected,0.5,30.0,43,120,0.10766357486136258,3.0,20.0,12.0,False
injected_any,0.5,30.0,43,0,,,,,False
injected,0.5,30.0,44,30,0.2088460954182665,3.0,22.0,16.0,False
injected,0.5,30.0,44,60,0.38039582128067195,3.0,23.0,20.0,False
injected,0.5,30.0,44,120,0.1481031842995435,3.0,20.0,13.0,False
injected_any,0.5,30.0,44,0,,,,,False
injected,0.5,30.0,45,30,0.31355128507857444,3.0,21.0,17.0,False
injected,0.5,30.0,45,60,0.5611928356238423,2.0,21.0,21.0,False
injected,0.5,30.0,45,120,0.10766357486136258,3.0,20.0,12.0,False
injected_any,0.5,30.0,45,0,,,,,False
